Timestamp,X_mG,Y_mG,Z_mG
1775850845.023,-32891.60,-32957.90,-31985.65
1775850845.028,-32891.60,-32957.90,-31985.65
1775850845.057,-32891.60,-32957.90,-31985.65
1775850845.064,-32891.60,-32957.90,-31985.65
1775850845.089,-32891.60,-32957.90,-31985.65
1775850845.090,-32891.60,-32957.90,-31985.65
1775850845.120,-32891.60,-32957.90,-31985.65
1775850845.145,-32891.60,-32957.90,-31985.65
1775850845.155,-32891.60,-32957.90,-31985.65
1775850845.169,-32891.60,-32957.90,-31985.65
1775850845.185,-32891.60,-32957.90,-31985.65
1775850845.201,-32891.60,-32957.90,-31985.65
1775850845.215,-32891.60,-32957.90,-31985.65
1775850845.221,-32891.60,-32957.90,-31985.65
1775850845.240,-32891.60,-32957.90,-31985.65
1775850845.265,-32891.60,-32957.90,-31985.65
1775850845.279,-32891.60,-32957.90,-31985.65
1775850845.283,-32891.60,-32957.90,-31985.65
1775850845.311,-32891.60,-32957.90,-31985.65
1775850845.328,-32891.60,-32957.90,-31985.65
1775850845.343,-32891.60,-32957.90,-31985.65
1775850845.344,-32891.60,-32957.90,-31985.65
1775850845.375,-32891.60,-32957.90,-31985.65
1775850845.397,-32891.60,-32957.90,-31985.65
1775850845.413,-32891.60,-32957.90,-31985.65
1775850845.423,-32891.60,-32957.90,-31985.65
1775850845.440,-32891.60,-32957.90,-31985.65
1775850845.458,-32891.60,-32957.90,-31985.65
1775850845.472,-32891.60,-32957.90,-31985.65
1775850845.483,-32891.60,-32957.90,-31985.65
1775850845.487,-32891.60,-32957.90,-31985.65
1775850845.521,-32891.60,-32957.90,-31985.65
1775850845.535,-32891.60,-32957.90,-31985.65
1775850845.535,-32891.60,-32957.90,-31985.65
1775850845.567,-32891.60,-32957.90,-31985.65
1775850845.594,-32891.60,-32957.90,-31985.65
1775850845.601,-32891.60,-32957.90,-31985.65
1775850845.616,-32891.60,-32957.90,-31985.65
1775850845.647,-32891.60,-32957.90,-31985.65
1775850845.661,-32891.60,-32957.90,-31985.65
1775850845.665,-32891.60,-32957.90,-31985.65
1775850845.695,-32891.60,-32957.90,-31985.65
1775850845.711,-32891.60,-32957.90,-31985.65
1775850845.727,-32891.60,-32957.90,-31985.65
1775850845.729,-32891.60,-32957.90,-31985.65
1775850845.758,-32891.60,-32957.90,-31985.65
1775850845.781,-32891.60,-32957.90,-31985.65
1775850845.791,-32891.60,-32957.90,-31985.65
1775850845.805,-32891.60,-32957.90,-31985.65
1775850845.821,-32891.60,-32957.90,-31985.65
1775850845.840,-32891.60,-32957.90,-31985.65
1775850845.854,-32891.60,-32957.90,-31985.65
1775850845.868,-32891.60,-32957.90,-31985.65
1775850845.868,-32891.60,-32957.90,-31985.65
1775850845.901,-32891.60,-32957.90,-31985.65
1775850845.921,-32891.60,-32957.90,-31985.65
1775850845.933,-32891.60,-32957.90,-31985.65
1775850845.963,-32891.60,-32957.90,-31985.65
1775850845.965,-32891.60,-32957.90,-31985.65
1775850845.995,-32891.60,-32957.90,-31985.65
1775850846.011,-32891.60,-32957.90,-31985.65
1775850846.036,-32891.60,-32957.90,-31985.65
1775850846.047,-32891.60,-32957.90,-31985.65
1775850846.062,-32891.60,-32957.90,-31985.65
1775850846.078,-32891.60,-32957.90,-31985.65
1775850846.091,-32891.60,-32957.90,-31985.65
1775850846.106,-32891.60,-32957.90,-31985.65
1775850846.114,-32891.60,-32957.90,-31985.65
1775850846.137,-32891.60,-32957.90,-31985.65
1775850846.137,-32891.60,-32957.90,-31985.65
1775850846.173,-32891.60,-32957.90,-31985.65
1775850846.185,-32891.60,-32957.90,-31985.65
1775850846.201,-32891.60,-32957.90,-31985.65
1775850846.219,-32891.60,-32957.90,-31985.65
1775850846.249,-32891.60,-32957.90,-31985.65
1775850846.264,-32891.60,-32957.90,-31985.65
1775850846.280,-32891.60,-32957.90,-31985.65
1775850846.285,-32891.60,-32957.90,-31985.65
1775850846.312,-32891.60,-32957.90,-31985.65
1775850846.329,-32891.60,-32957.90,-31985.65
1775850846.329,-32891.60,-32957.90,-31985.65
1775850846.363,-32891.60,-32957.90,-31985.65
1775850846.376,-32891.60,-32957.90,-31985.65
1775850846.392,-32891.60,-32957.90,-31985.65
1775850846.425,-32891.60,-32957.90,-31985.65
1775850846.429,-32891.60,-32957.90,-31985.65
1775850846.455,-32891.60,-32957.90,-31985.65
1775850846.475,-32891.60,-32957.90,-31985.65
1775850846.488,-32891.60,-32957.90,-31985.65
1775850846.503,-32891.60,-32957.90,-31985.65
1775850846.503,-32891.60,-32957.90,-31985.65
1775850846.542,-32891.60,-32957.90,-31985.65
1775850846.553,-32891.60,-32957.90,-31985.65
1775850846.567,-32891.60,-32957.90,-31985.65
1775850846.586,-32891.60,-32957.90,-31985.65
1775850846.601,-32891.60,-32957.90,-31985.65
1775850846.615,-32891.60,-32957.90,-31985.65
1775850846.621,-32891.60,-32957.90,-31985.65
1775850846.647,-32891.60,-32957.90,-31985.65
1775850846.663,-32891.60,-32957.90,-31985.65
1775850846.665,-32891.60,-32957.90,-31985.65
1775850846.696,-32891.60,-32957.90,-31985.65
1775850846.711,-32891.60,-32957.90,-31985.65
1775850846.728,-32891.60,-32957.90,-31985.65
1775850846.743,-32891.60,-32957.90,-31985.65
1775850846.743,-32891.60,-32957.90,-31985.65
1775850846.774,-32891.60,-32957.90,-31985.65
1775850846.794,-32891.60,-32957.90,-31985.65
1775850846.809,-32891.60,-32957.90,-31985.65
1775850846.841,-32891.60,-32957.90,-31985.65
1775850846.853,-32891.60,-32957.90,-31985.65
1775850846.870,-32891.60,-32957.90,-31985.65
1775850846.872,-32891.60,-32957.90,-31985.65
1775850846.901,-32891.60,-32957.90,-31985.65
1775850846.919,-32891.60,-32957.90,-31985.65
1775850846.940,-32891.60,-32957.90,-31985.65
1775850846.949,-32891.60,-32957.90,-31985.65
1775850846.965,-32891.60,-32957.90,-31985.65
1775850846.987,-32891.60,-32957.90,-31985.65
1775850847.002,-32891.60,-32957.90,-31985.65
1775850847.014,-32891.60,-32957.90,-31985.65
1775850847.030,-32891.60,-32957.90,-31985.65
1775850847.030,-32891.60,-32957.90,-31985.65
1775850847.069,-32891.60,-32957.90,-31985.65
